ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
Q9Y5M8,405,268.8,223.3,495,215.3,320.6,328.2,291.3,258.2,354.6,220.6,274,282.2,221.6,189.6
P11498,32.6,20.4,41.1,32.5,32.5,19.1,32.3,30.1,41.4,29.9,21.7,54.7,42.5,224.1,172.2
P17482,281.7,210.9,264.3,184.3,273.1,242.4,283.2,181.3,252.4,285.4,143.8,202.1,69,61,67.8
P04792,104.2,85.8,96.3,107.7,80.9,84.8,79.1,75.6,71.9,85.9,95.9,125.5,134,47.9,66.9
P31321,4.4,0,4.6,0,0,4.7,3.7,0,0,3,0,2.7,0,0,2.2
Q9H3K6,35.8,24,48.1,18.8,35.3,30,40.3,23.3,33.3,29.9,18.6,38.9,16.5,19.4,23.3
Q8IX01,91.6,59.6,76.7,75.4,60.4,83.8,79.1,62.4,67.4,82.3,52.5,61.6,50.3,65.5,59.2
Q86Y39,21.1,21.2,9.8,60.4,11.2,10.6,16.5,28.3,8.8,15.9,42.5,18.2,29.5,19.9,28.2
Q9Y2H1,36.7,13.7,12.1,17,8.9,26.8,22.4,13.5,10.5,18.8,15.1,20.7,16.7,12.1,12.7
P98172,323.9,540.7,412.4,394.1,510.8,285.8,377.7,659.8,466,363.5,757.4,409.7,219.9,239.2,252
Q13217,47.2,30.8,31.2,75.6,17.2,56.8,40.4,50.1,32.6,42.3,29.9,24.3,39.4,41.1,33.8
Q9Y508,121,69.2,153.1,86.3,131,107.3,113.4,95.9,101.1,107.3,67.4,145.5,40.7,43.5,51.9
Q96N23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
Q86W50,58.2,52.9,33.6,65.1,35.5,43.2,43.8,56.2,34.8,61.5,55.1,49,61.3,65.6,59.4
Q8TDB4,35.3,33.5,88.3,34.1,68.9,34.2,42.9,36.1,69.9,49.9,45.2,104.9,18.7,19.8,18.9
A2RU67,58.3,55.8,76.5,58.3,71.2,51.5,65.3,61.7,70,56.2,64.9,94.4,31.3,31.2,26.7
P51648,213.5,197.7,133.8,462.4,131.4,208.7,212.9,263.7,194.7,184.9,187.9,221.6,260,181,200.4
P09601,65.2,28.5,36.9,40.8,32.5,48,56.1,36.9,27.3,42.5,23.9,41.8,45.3,36.5,35.6
Q8IVV2,30.9,19.8,15.2,18.8,7.6,17.6,19,19.1,9.7,21.7,14.1,22.3,14.2,10.4,12.5
Q9H4G4,8.2,7.1,5.9,8.2,4.8,8.2,10.6,6.6,9,7.3,8.6,9.1,3.1,4.5,3.3
Q96PU8,88.8,54.8,117.2,75.5,82.9,76.4,93.2,81.1,86,80.1,58.5,79.1,30.4,27.8,35
O75131,211.4,123,108.5,203.8,63.7,136.6,167.9,141.6,111,115.7,135.7,141.3,158.1,140.2,163.3
Q9UQ84,89.2,64.2,67,67.7,64,86.3,85.9,73.8,74.4,95.4,63,65,70.2,90.6,84.2
P62070,125.6,94.9,81.9,234.8,54.7,84.6,98,128.1,96.2,93.4,81.1,113.9,112.2,81.4,98.3
P67775,209.3,136.5,113.5,362.4,83.9,167.3,148.4,185.5,111.1,162.1,128.8,147.9,180,109.1,119
Q969G2,5.7,5.7,4.5,7.7,7.8,0,4,8.4,5.6,3.3,6.3,4,3.3,3.9,5.4
Q8IZP2,191.8,180.2,224.8,156.1,256.6,178.4,204.8,218.2,275.5,231,180.9,190,65.2,119.6,79.6
P28290,172.4,97.2,164.3,118.1,119.8,125.6,161.8,113.6,161.7,148,94.8,221.1,84.7,92,86.2
Q3L8U1,37.4,30.6,20.6,35.3,22.4,23.6,25.4,31.9,26.2,37.1,21.6,23.4,17.9,23.4,25
Q9H9V9,52.3,16.9,34.7,22.4,10.9,32.6,35.7,19.4,10.5,20.9,9.4,26.8,12.9,3.7,8.5
Q8TF01,43.7,47.2,34.1,71,38.1,32.9,47.3,63.4,39.9,41.9,50.7,32.9,36.4,55.2,35.8
Q9NSV4,70.2,53.5,62.5,40.6,31.6,57.2,77.3,37.8,42,49.4,57.2,88.4,40.1,20.3,35.3
Q9H4K1,12.2,9.4,14.9,10.9,16.1,10.4,17.4,14.3,17.8,17.5,18,20.5,4.7,10.1,15.8
Q8WV99,106.5,101.4,137.1,97.1,157.7,114,126.1,133.4,146.9,144,105.9,135.3,20.8,10.7,16.7
