ProteinID,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,NoGp_1,NoGp_2,NoGp_3,NoGn_1,NoGn_2,NoGn_3
P23763,13.2,10.3,9.6,14,9.7,7.7,11.2,14.8,13,9.1,14.5,11.1,9.1,11.1,12
Q9UI95,31,25.4,15.4,38.2,12.5,24,30.4,23.6,18.2,26.9,11,30.4,20.2,11.5,13.5
Q13423,743.4,520.9,404.2,1187.3,329.2,619.6,627.2,714.5,576,551.9,511.8,614.9,743.4,398,530.5
Q6F5E8,128.6,126.2,153.5,140.5,130.2,114.2,122.8,152.4,162.5,121.1,107.7,117.9,76.9,132,104.9
Q00577,189,79.7,247.1,95.3,152.1,154.1,156.9,72.8,132.5,172.6,61.9,257.7,79.5,56.1,38.6
Q9C0J8,156.4,175.3,128.7,231.4,133.4,157.6,141.6,200.3,170.3,169.4,150.2,115.1,102.4,125.4,121.7
Q9UGI8,58.4,36.7,57.8,61.5,35.8,51.5,49.2,53.5,36.6,42,47.5,69.3,19.2,24.5,26.1
Q13185,1045.8,517.6,1754.9,477.2,1532,1052,1142.9,526.2,1190.9,1327.9,407.5,1158.5,367.9,331.2,319.6
Q5FWF6,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
P57105,110.9,215.8,146.6,124.4,198.6,98.6,139.8,289.4,214.3,124.9,291,180.2,27.5,23,37.2
P45974,193.4,67.7,77,60.5,39.8,112.3,118.8,64,56.5,104,58.2,116.1,68.9,70.4,84.1
P04075,226.9,210.3,182,476.3,161.6,181.8,198.5,261.2,201.8,226.3,162.3,246.5,231,154.6,166.7
P0DPB6,39.8,20.5,30.7,14.4,33.3,27.3,37.5,21.3,33.6,33.5,14.9,24.7,11.3,19.7,18.4
Q8NHQ8,76,72.4,78.5,39.1,76.6,48.9,58.2,70.6,86.3,77.8,66.3,88.4,47.2,62.5,61
Q71RC2,625.9,309.1,548.1,322,469.2,550.7,649.8,357.6,423.3,517.2,323,487.8,153,189.4,182.1
P0DJD0,67.4,49.5,94,45.5,55.7,59.7,61,36.5,65.3,61,53.2,105.4,30.3,29.6,35
Q9NYJ1,58.3,39.2,53.4,36.1,73,53.3,71.4,40.8,76.6,70.8,32.2,41.4,10.9,4.6,6.9
Q92538,441.2,226,252.2,260.5,153.5,316.9,354.7,253.8,214.7,289.1,232,354.8,207,166.5,168.2
P04632,12,9,9.9,10.2,7.9,6.9,13.2,9.9,5,8.8,11.6,9.2,20.7,11.8,20.2
O14686,269.1,246.8,289.4,258.9,316.2,247.6,296.1,304.3,333.2,312.6,230.1,229,148.5,184.6,159.7
Q96FV9,37.6,22.5,25.4,28.5,16.9,35.5,34.5,22.6,26.7,18,24,31.3,43.1,24.2,27.2
P63104,283.6,212,324.1,162.8,198.3,216.4,247.2,212.3,198.9,211.6,186.9,361.6,281.5,274,256.5
P58546,170.3,171.5,283,104,382.5,177,234,162.6,326.5,234.2,155.9,257.7,60.4,58.5,44.3
Q86XK2,0,2.9,0,5.5,1.8,0,0,0,0,0,0,0,6.2,6.4,5.1
Q53T59,9.3,9.8,11.7,7.8,8.6,5.9,6.6,5.5,7.4,6.3,9.1,11.1,10.6,9.6,12
Q9BX82,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
Q92581,80.8,47.8,56,73.2,55.1,69.8,82.3,69.4,75.2,60.7,54.9,64.2,69.9,72.7,52.2
Q05639,69.9,50.5,55.7,124.4,49.3,68.9,48.9,65.8,65.4,46.2,51.2,64.3,65.4,49.1,45.3
Q5M9N0,45.6,114.5,50.9,57.3,44.5,35.6,39.7,91,52.5,50.9,85.9,51,129.9,222.8,206
A0A0B4J2D5,84.8,112.1,91.6,202.1,95.4,83.8,98.7,124.5,136.7,121.2,91.2,120.9,107.3,85,111.4
P13929,101.5,83.1,53.7,158.4,45.6,75.5,86,94.6,76.1,81.4,73.6,78.8,175.9,93.8,102.5
Q9H5N1,2.4,0,4,2.2,4.3,3.2,2.7,2.9,0,0,0,4.2,0,0,2.2
Q8N5A5,98.7,50.2,106.7,60.9,99.5,85.5,96.3,61.5,84.1,107.2,37.3,58.8,37.5,50.4,32.3
P0DPF3,686.1,233.7,527.1,190.3,479.9,556.6,659.2,276.6,391.2,551.3,228.2,375.6,72.8,59.9,57.2
Q14C86,452.2,200.9,288.5,185.4,156.4,281.6,332.8,207.3,167.6,268.2,211,467.5,184.8,219.2,254.4
Q9Y6D5,31.7,31.6,25.5,34.2,22.7,25.4,29.9,34.9,30,30,40.7,32.8,43.3,45.4,46.3
Q15434,193.2,187.1,228.4,138,178.6,164.4,186.6,186.3,186.9,188.2,190,235.2,91.3,104.9,103.5
Q9P0T7,22.3,38.9,41,35.9,62.1,28.9,25.6,53.8,38.9,25.7,42.4,42,9.9,9.3,7.4
P26641,832.7,417,349.6,715.3,232,534.8,636.3,456.9,286,430.7,406.3,473.7,575.6,242.4,325.2
P51970,82.4,71.2,61.7,149.7,82,62.4,57.9,82.6,79,66,61.5,83.4,36.3,21.1,24.7
Q16777,207,579.7,179.6,547,156.5,131.4,160.7,467.1,118.1,190.2,469.1,194.3,323.3,126.1,188.5
O95772,11.1,6.6,5.4,8.5,5.1,10.2,4.7,7.6,10.1,7.3,8.4,9.4,5.4,8.4,7.2
Q9BQ67,262.1,102.4,125.1,257.8,97.9,245.7,187.9,140.3,133.1,257.7,100.3,150.3,116.2,87,88.3
Q08AM6,33.9,17.1,16.4,41.7,5.3,20.8,23.6,23.4,12.9,17.5,15.2,32.7,15.9,11.3,17.5
Q13228,116.4,209.3,87.8,122.6,83,62.7,98.4,192.7,90.6,96.9,210.5,112.8,344.2,504.8,459.1
P31944,103.6,268.7,135.8,211.8,163.9,56.3,105.1,180.2,148.9,70.3,448.7,146.8,291.1,414.6,538.6
Q96F45,461.4,227.1,291.2,219.4,225.3,331,445.1,213.9,210,441.2,173.6,197,87.6,108.6,88.2
Q9UNN8,8.8,10.8,9,12.9,11.5,5.5,10.5,12.9,10.5,9.4,8.9,11.7,9.2,9.4,9.6
P48751,26,15.4,21.4,26.6,19.2,25.3,33.7,25.6,25.9,26.8,19.4,20.8,16.2,12.7,10.5
Q7L7L0,183,520,155.4,490.8,135.8,114.3,140.4,407.2,84.6,169.6,409.5,163,284.6,93.8,139.3
P30154,87.4,45.7,75,65.9,27.5,64.9,83.2,53.4,35.4,57.9,39.5,89.7,56.1,54.4,42.6
Q92805,13.6,5.9,10.8,9.3,9.9,11.2,9.8,7.6,8,12.5,5.3,12.9,5.7,3.6,9.1
Q9BYG5,42,14.3,53,18.8,42.7,31.2,41,17,39.2,44.3,17.5,55.7,10.2,8,9.8
Q99729,1163.2,1278.9,1825.8,664,1814.3,1135.7,1471,1150.2,1764.2,1470.2,872.4,1198,262.9,284.9,267.4
Q5T280,204.4,114.2,172.6,182.2,125.5,148.6,211.4,126.8,121.3,189.2,80.4,166.1,101,116.8,108.8
P53597,6.5,5.4,4.6,12.7,2.4,3.9,5,7.4,4.1,4,5.4,5.3,7.3,5.8,4.2
O75381,144.6,120.2,256.7,152.7,228.3,136.8,188.8,129.4,224.4,172.9,178.2,264.9,57.4,63,54.8
P46977,40.8,33.9,17,68.6,18.9,33.2,38.4,48.3,31,34.6,30.9,31.9,42.8,34.4,32.9
P10644,55.8,34.7,31.9,45.8,22.6,50.6,41.7,31.7,20.2,49.3,28.4,38.3,60.1,42.6,34.5
O15498,212.4,140.1,80,251,62.9,141.2,178.8,155.2,88.2,126,125.9,171.4,143.9,107,115
Q8WVK2,151.3,235.9,109.4,107.8,202.2,154.5,155.8,213.3,226.4,209.8,165,83.5,96.2,212.3,138.2
Q9UBS4,44.4,26.2,37.2,48.5,24.2,34.9,41.9,26.4,30.4,34.5,27.8,36,40.3,17.5,17.9
P61026,212.7,113.1,110.8,297.3,111.5,163.7,189.5,149.1,156.4,131.6,92,133.2,149,89.3,102.9
Q8TED0,113.8,85,47.8,170.8,53.9,100.5,91.3,95,59.6,110,67.1,64.8,104.4,111,79
Q7L5N7,129.8,56.7,56.4,120.1,39.4,91.4,94.1,71,69.1,65.9,52.1,82.6,68.3,48.4,55.2
Q5SZL2,57.2,39.5,44.9,34.3,37.8,44.6,50.2,42.7,37.4,53.3,35.7,46.1,24.9,33.4,40
P61758,250.2,137.2,341.8,95.9,260.6,228.6,269.8,140.4,259,216.8,155.9,383.2,66.1,79.5,80.6
P62633,353.4,650.4,527.3,385.6,735.8,383.9,495.4,730.3,696.3,523,609.7,389.5,129.9,156.5,176.2
Q07889,16.6,12.4,9.4,13.3,4.6,12.1,10.2,10.7,10.9,11.8,14.1,10.1,13,12.7,13.3
O43815,78.1,76.5,89.9,64.6,72.3,53.5,64.7,70.1,65.9,76.7,79.9,92.8,80.2,95,121.3
O76080,160.3,147.5,133.9,132.9,206.5,176.7,198.7,170.8,196.3,192.6,125.6,94.1,57.8,75.7,84.1
Q9UL54,32.7,18.3,18.8,32.1,15.6,26.1,26.8,25.7,25.2,26.6,20,17,17.8,18.1,19.3
Q15047,26.3,20.1,19.6,24.6,15.4,21.7,18.6,23.7,17.9,21.7,18.5,17.9,17.6,26,24.1
Q9H1E3,301.7,451.1,377.5,267.5,712.5,355.8,388.3,427.1,789.1,420.4,319.6,218.5,82.2,87.8,83.1
Q6STE5,126.1,95.3,79.4,168.2,56.3,103.3,102.5,103.8,72,119.3,78.4,101.4,86.1,72.9,69.2
O60645,20.7,18.1,11.6,15.5,7.1,15.1,19.9,18,13.4,12.6,15.7,18.7,17.8,21.3,21.1
Q86U28,7.6,13.1,9,8.9,11.5,10.3,14.3,9.5,14.9,12.7,13.6,14.1,9.6,22,19.4
Q9NR28,64.3,184.3,74.7,131.3,76.2,64.1,63.1,180.3,76.8,110.3,105,41.6,24.7,140.5,38.8
Q12996,184.1,105.7,102.3,201.5,60.2,136.7,149.7,127,68.2,123.7,114.9,94.4,150.6,108,127.5
Q9UHQ1,24.1,11.2,24.5,16.2,19.7,16.8,18.1,12.2,15.1,23.2,14.6,15.2,15.9,22.2,17.1
Q9NYB9,4.4,8.3,3.1,4,7.9,9.2,3.7,7,6,4.5,7.2,7.9,4.7,8.4,4.8
Q9Y6I4,17.1,23.6,16.3,23.5,13.4,16.8,15.4,27,15.6,17.1,18.5,10,25.3,35.2,31.7
Q99590,724.7,360.7,586.7,457.9,679.6,538.4,744.4,346.5,641.1,643.3,328.6,496,136.5,141.3,135.8
Q9BUH6,9.4,12.9,18.5,11,18.2,8.4,12.4,6.7,17.8,13,13.1,20.6,9,11.4,11.3
Q6P1L5,12.6,26.1,11.5,18.4,22.6,11.3,12.6,18.7,19,14.6,14.1,15.7,16.4,18,22.4
O43824,261.9,144.8,76.5,455.7,85.3,236,200.5,215.7,127.4,221.1,107,139.9,140.2,77.5,72.1
Q8ND24,23.2,13.1,35,14,24.4,20.9,29.7,13.3,20.7,14.7,16,28.1,13.3,10.2,7.2
P48739,91.3,30.7,35.9,51.4,18.9,62,66.5,39.8,18.7,43.3,32.4,51.7,44.1,31.5,36.7
Q00341,673.2,354.8,508.7,359.9,348.1,480.5,526.7,339.6,376.7,515,358.8,590.7,319.8,218.7,227.9
Q96D71,91.2,46.6,124.3,63,82.3,62.6,98.2,57.5,77.5,72.5,86.2,129,42.9,36.5,40.3
Q16342,26.8,12,16.7,21.9,10.7,24.2,20.7,17.7,8.7,16.5,18.1,18.9,19.4,18.7,16.5
Q16836,12.6,21.1,10.9,53.2,15.3,13.4,14.7,22.4,22.6,21.7,15.9,14.7,24.2,20.5,20
Q96F24,24.7,17.7,34.1,18.7,22.5,24,24.2,20.7,24.4,23.6,16.8,26.8,5.9,6.2,6.8
Q9NYZ3,239.6,138,142.9,110.2,147.6,186.5,205,162.2,129,151.5,158.2,143.1,134.1,139.8,219.4
Q7Z2W9,64.9,47.3,33.7,161.7,24.3,52.1,53.7,64,37.1,64,38,47.6,43.6,24.3,33.3
Q9NVI1,25.7,19.3,9.8,30.4,6.1,20.3,20.7,21.2,10.2,21.8,16.2,16,20,22,19
Q92733,352.6,296.4,452.2,303.8,685.8,391.6,422.9,339.4,685,545.7,248.4,248.9,131.3,146.7,131.5
P13473,10.8,12.3,14.8,9.6,11.7,5.4,16.1,11.5,6.6,6.3,19.1,25.2,8.9,7.2,12.2
P39023,630.4,387.2,196.1,927.4,182.4,506.8,481.3,454.8,289.6,461.4,326.9,321.6,436.2,208.2,253.5
Q96NW7,177.3,74,163.7,104.7,134.9,124.2,175.7,95.8,109.9,107.5,78.1,160.6,54.4,37.4,36.1
O75635,10.3,26.8,15.4,23.6,13.9,8.3,10.7,19.1,24.3,13.4,37,16.8,51.6,50.1,60.5
Q8IXJ9,31.6,17.8,21,22.6,24.9,25.9,22.1,22.3,30.8,30.3,22.4,24.2,14.2,22.4,17.1
Q15642,48.6,21,60.7,28.8,33.4,35,46.3,27.4,33,43.1,28.4,72.4,19.5,20.6,16.7
P14616,0,3.4,3.3,3.2,4.3,0,0,0,2.3,2,0,4.2,0,0,0
P29692,1487.1,463.3,1867.1,423.1,1304.7,1099.3,1246.3,572,1187.2,1170.8,389.8,1931.5,227.5,174.4,182.9
Q96S66,436.9,356.5,467.3,347.9,366.4,345.2,448.5,443.6,358,314.5,466,602.6,230.5,263.7,255.6
P51532,594.7,420.2,382.2,636.3,296.8,464.3,508.8,408.5,394,551.8,380.5,391.1,413.1,277,306.1
Q9ULM3,44.2,39.2,36.4,46.1,35.3,36.8,47.8,37.3,33.6,34.1,41.7,44,45,37.3,35.4
Q92621,644.8,489.1,283.9,1082.3,237.3,524.1,527,588.2,409.4,506.8,426.2,434.2,600.7,364.2,475.7
Q58FG0,60.2,28.7,34.3,27.9,18.4,35.8,48.3,33.3,30.8,30.8,29.7,44.6,30,43.9,46.7
P53365,126.7,78.9,97.3,59.2,80.9,95.2,104.3,69.2,63.3,95.8,71.9,100.8,60.2,85.4,61.1
P28838,75.3,53.6,56.7,154.9,49.2,58.8,61.7,78,50.2,51.4,42.7,54.4,66.5,56.7,45.1
P38606,386.7,173.9,178.1,283.5,155.6,313,277.6,206.2,156.9,263.9,156.5,196.2,194.1,163.8,139
Q9NY12,686.4,285,692.3,353.5,709,632.1,720.8,337.3,490.9,773.7,169.9,333.1,76.9,111.4,98.8
Q71UI9,515.1,434.8,466.6,587.7,507.6,447.8,501.6,440.6,462.7,595.6,327.1,365.2,224,356.5,395.7
Q12929,167.9,98.7,173.3,98.8,98.5,153.9,158.7,121.8,95.5,114.8,122.9,190.8,73.2,89.5,81.4
Q9NSC2,4.1,5,0,2.4,0,3.1,0,2.9,2.6,0,3,0,6.4,8,5.9
O14965,64.6,34.5,21.6,49.3,12.8,43,32.1,32.3,20.9,37.7,43.3,33.1,39.9,29.3,24.9
Q9BQE5,17.2,10.1,27.6,11.3,15.4,19,17.9,18.4,19.7,23.4,9.8,24.8,4.6,4.6,7.6
Q16718,58.9,61.4,57.2,67.5,88.4,59.8,65,65.3,85.9,78,53.5,58,60.1,63.6,41
P35658,311.3,150.2,272.2,258.3,241,277.2,313.6,174.2,259.9,269.5,193.2,290.1,144.3,105.7,136.7
O15370,38.3,40.9,55.3,21.4,77.4,39.4,42.3,33.7,86.8,68.1,31.6,27.3,6.4,11.4,12.3
P18583,555,485.8,566.3,550.4,673,508.9,612,583.8,638.8,762.3,358,383.1,196.8,428.3,268.9
O14647,46.3,40.3,39.3,55.9,32,40.6,44,44.8,45,35.8,36.7,41.9,56.2,47.3,46.1
P35251,669.7,524.5,521.5,517.1,617.9,613.2,669.9,575,647.9,685.4,476.5,375.9,212.4,245.1,214.8
Q9HAU0,29.2,15.6,31.9,21,30.3,23.4,30.9,23.3,34.9,19.8,26.3,44.1,8.7,7.4,7.6
Q2M3W8,19.2,17.5,15.7,30,15.1,12.3,22.8,17.1,20,16.8,21.4,20.7,14.3,16.1,17
P18754,219.2,101.9,95.4,279.6,77.4,177.2,176.4,132.5,118,167.6,87.4,136.6,104.6,103.7,97.7
Q96KB5,37.9,4.2,37.5,7,12.1,22.2,28,10.9,8.3,15.7,8.3,35.4,8.5,7.2,5.4
O43166,46.3,43.3,57.1,53.1,57.4,44.3,50.7,51.5,60.1,59.5,52.4,55.6,31,44,53.3
Q504U0,7.1,3.2,9.3,6.4,11,9,7.5,5.6,9.5,7.6,10.2,7.9,6,7.1,6.1
P24539,75.2,58.4,42.2,133.7,40.1,56.4,62.7,88.8,45.5,55.4,50.2,57.3,80.5,76.5,80.2
P43304,101.4,67.9,51.1,141,56.3,84.3,83.6,78.2,54.4,74.6,57.6,77.1,87.1,67.1,63.7
O95926,216.4,118,187.1,120.7,228.7,199.7,201.5,130.6,155.2,256.9,95.5,104.6,62,96,71.6
Q8WW12,19.9,24.8,24.4,21.8,40,25.6,31.9,26.9,53.7,36.3,17.6,21.8,11.9,13,13.5
Q15631,143.6,50.3,84.3,78.3,48,90.4,103.4,65.8,51.5,76.3,50.6,118.8,61.6,48.3,49
Q15058,113.2,71.3,72.6,67.1,71,90.9,117.9,75.7,70.5,84.2,82.2,79.2,57.6,75.1,63.5
Q99963,13.7,7.2,22.4,8.1,7.8,17.6,10.6,6.6,9.4,13.7,10,16.7,7.7,6.2,0
Q12769,218.6,241.3,121.5,531.6,98.3,145.6,164.1,311.2,152.5,155.2,481.6,188.9,383.7,318.7,295.4
P27695,245.8,207,121.1,552.2,135.3,215.7,238.1,269.4,206.6,173.3,200.5,163.4,291,230.4,221.8
P0C860,285.5,170.8,216.4,162,189.1,205.2,238.1,172.1,118.1,211.2,144.6,187.7,98,66.1,75.4
Q16850,344.1,210.7,200.4,620.1,194.2,282,338.6,312.7,224.6,257.8,192.7,215,252.1,168.8,173.1
Q8NC44,44,20.5,43,29.4,41.5,27.6,42.8,34,54.1,31,28.8,53.3,20.9,25.8,12
Q7Z2E3,140.9,91.6,72.9,174.3,61.3,119.2,108.8,107.4,64.3,120,79.4,79.8,96.4,87.1,83.2
Q8NBU5,130.1,140,85.1,133.3,81.4,94.9,98.6,124.9,123,117.6,102.3,98.5,145.1,201.7,167.7
P08133,14.7,6.7,5.4,16,8.1,13.7,9.3,14.6,9,8,6.1,13,12.3,9.1,6.2
Q9UJC3,95.3,68.4,96.4,43.7,62,75,82.9,58.7,67.9,80.7,69.1,117.6,60.5,76.5,72.3
P26373,281.2,192.2,114.3,368.3,129.2,230.7,224.1,224.6,192.6,251.6,164.9,160.3,211,202.4,213.9
O00308,17.9,15.1,15.5,29.4,12.2,19.4,18.5,18,13.8,15.4,13,17.2,14.9,12,13.3
P23786,19.2,18.8,16.5,37.6,13.6,13.7,12,23.9,16,20.5,13.9,16.5,22.6,18.2,19.8
Q8N573,32.4,43.7,42.1,46.9,41.2,26.9,40.3,35,34.5,42.8,55.7,56.8,73.3,43.3,70.3
Q12906,1814.2,1387.7,1518.9,1225.3,1362.3,1483.1,1950.9,1221.5,1478,1600.2,932.7,1084.3,533.3,626.7,704.2
P78417,30.5,20.9,40.7,21.5,18.2,21.6,24.5,22.5,15.7,21.9,12.5,39.7,21.5,24.1,24.9
O94868,42.4,21.1,43.7,22.3,31.1,37.9,35.9,28.7,22,47,35.5,56.3,23,29.6,23.1
Q9HCK8,89.7,51.7,55.4,62.9,43.4,72.2,65.9,67.6,45.8,77.3,49.3,53.3,61.3,51.1,49.8
Q8IWJ2,15,18.5,17.8,9,16,11.9,11.8,12.7,16.3,13.6,16.7,22.3,16,22.7,19.6
O75449,63.3,41.2,52.9,46.2,36.9,45.2,52.8,44.5,40,56.1,37.3,60.4,33.5,47.8,37.1
O14936,78.7,55.5,40.1,81.4,47,58.1,66.7,72.8,51.4,70.5,64.3,70.5,87.3,87.8,97.3
P23368,127,125.3,98.3,353.4,107.1,107.7,107.4,179.6,143,155.1,108.4,140.5,165.7,99,138.1
Q9BWJ5,179.8,168.1,228.1,158,329,157.6,218.5,214,308.5,248.4,122.1,135.8,35.9,23.4,29.2
Q86W33,32.8,28.8,39.3,32.4,25.4,17.7,35.5,38.9,29.2,18.2,40.4,71.6,28.9,23,25.8
Q969J2,103.2,51.6,115.2,66.8,97.7,98.3,115.4,60.3,78.7,120.1,49.6,101.5,38.4,46.3,37.9
Q14807,141.8,97.8,92.1,225.4,81.6,124.5,124.7,122.2,106.9,164.6,81.6,107,96.9,70.2,78
P84243,42.6,25.5,21.8,56.3,18.9,20.5,32.7,28.1,29,54.8,20.8,53.4,24.8,20.6,36.5
Q99961,742.3,350.5,801.1,400.8,687.6,656,757.8,445.8,640.8,640,425.7,726.6,161,170.4,138.4
Q86UL3,77.1,59.5,39,119.6,40.3,77.4,72.8,75.8,58.3,66.7,49.1,50.4,69.2,52.6,60.3
P21912,26.5,22.2,17.8,53.2,12.1,16.2,23.7,37.6,14.5,22.7,24.6,28.6,23.4,22.3,18.9
Q9P1W8,24.9,24.2,43.6,19.9,37.9,16.8,19.2,37.1,44,21.2,46.5,33.6,7.2,6.6,9.6
P20020,227.4,131.8,179.7,208.1,154.4,187.6,236,177.4,222.1,148,150.4,203,166.9,164.5,177.7
Q96QD8,162.3,128.7,155.1,189.7,119.1,127.8,151.4,166.4,111.7,141.4,169.5,253.9,135.4,93.1,127.4
Q06481,311.5,318.1,410.5,348.4,478.7,257.6,341.8,364.9,432.3,346.8,493.1,417.1,147.2,146.2,145
O00267,620.5,257.2,401,297.7,305.8,468.4,494.7,270.6,355.9,498.4,210.7,290.5,124.6,124.5,127.4
P53701,645.6,317.9,722.2,540.4,608,582,615.9,356.6,473.5,582.9,311.7,693.8,162.5,93.6,112.2
Q92620,96,83.8,66.9,64.8,72.4,80.6,77,85.3,74,82.1,66.3,47.8,48.5,74.2,76.2
Q8TEH3,9.1,9.3,7,10.1,3.9,5.7,5.1,9.3,3,9.2,7.2,9.1,8.4,11.1,3.3
P0DPH8,1739.8,784.3,1147.8,894.1,614.3,1172.3,1248.7,832.5,603,1023,892.5,1747.4,1022.9,655.4,724.7
P20933,19.9,27.8,23.9,44.7,21.7,23.4,19.7,29.4,21.9,15.2,29.9,18.2,31.3,60.4,26.1
Q9Y6M7,66.7,46,71.2,77.8,56.8,52,64.4,56.8,50.9,55.5,55.9,111.3,33.6,20.9,42.3
P25208,56.7,81.6,99.3,59.6,125.6,64.5,71.1,102.8,140.3,101.6,72.4,77.7,52.7,83.2,70
Q96EB6,320.6,144.5,226.1,122.7,167.7,244.8,283.4,148.8,182.2,244.2,113.4,180.8,98.1,163.9,105.9
O14976,158,100.8,105.4,101.9,71,141.5,134.3,87.2,88.7,149.6,93,137.1,95.7,68.4,64.2
Q9NQX1,321.6,159.5,256.9,252.1,263.8,284.4,355.5,213.8,172,217.2,167.9,222.4,65.2,53.6,63.7
O95251,103.2,91.3,88.7,112.9,103.8,91,104,97.5,99.7,96.2,83.1,83.2,61.7,58,60.1
Q86VP6,313.8,226.5,136.7,252.4,85.1,281.1,271.3,219.3,123.3,211.9,225.1,232.7,253.4,198.5,193.7
Q9BQ04,25.5,12.5,18.5,10.5,15.7,23.3,23.4,11.1,14.3,28.6,11.6,17.5,6.5,7.7,4.3
Q13561,565.3,380.8,673.6,315.6,473,433.9,554.7,439.2,483.5,516,508,675.5,314.7,365.8,436.9
Q9NY35,30.8,15.4,28.5,34.3,18.2,25.6,27,22.2,21.2,26.6,21.5,33.7,21.5,24.4,15.7
Q96IG2,29.2,31.4,15.7,59.6,18.2,15.9,23.8,48.5,27.9,25.3,36.4,28,49.7,40,48.5
P32856,273.6,352.1,306.2,304.5,465.6,233.4,328.8,490.1,416.4,291.8,553.2,352.6,63.5,48.8,63.3
P24844,40.9,6,25.4,8.2,17.5,24.8,24.8,9.6,11.6,17.1,10,18,10.3,9.2,8.5
Q9UHW5,121.7,54,66.1,99.2,38.5,106,106.2,66.5,51.9,76.7,43.5,71.4,56.9,30.8,36.1
Q6PUV4,42.3,25.9,41.3,24.1,39.2,45.6,45.2,37,41.4,33,36.4,31.9,7.6,3.8,7.2
Q8NDD1,213.8,179.6,212.9,167.6,295.9,206.5,235.1,198.1,265.2,308.9,123.2,118.4,109.1,290.5,160.1
P11388,891.2,705.7,526.9,1158,488.7,773.3,774.8,651.3,636.4,895.7,578.3,527.5,613.2,434.4,488.3
Q96ES7,24.3,36.2,20.5,46.8,20,21.5,18.5,39.7,20.7,22.6,47.3,24.8,30.3,41.6,28.9
P13010,582,234.8,228.5,345.3,175,449.4,454,246.3,255.7,388.4,231,282.7,283,256.5,268.9
P21283,74.5,45.1,44.4,44,26.7,46.9,57.3,43.9,36.8,40.4,28.8,59.5,38.6,29.5,29
P05026,33.3,35.4,35.4,41.8,39.5,24.4,38.3,46.4,38.8,25.2,43.3,28,23.1,16.1,14.8
Q96KG9,34.1,17.4,8.5,26.1,7.9,26,21.2,19.1,6.3,19.5,17.7,13.1,19.9,12.4,13.7
Q8WYA6,121.7,115.7,127.6,94.5,65.5,101.4,145.4,101.8,96.6,100,101.5,119.9,139.3,108.7,127.7
Q5TBB1,29.1,15.8,12.7,13.9,6.4,19.7,30.1,14.8,11.7,14.5,12.1,22.3,11.9,11,16.6
O00506,207.1,56.3,140.6,63.7,60.6,125.9,166,54.2,62.3,133.6,48.2,143.3,66.7,64.3,54
Q96IK1,36.3,35.4,61.4,34.9,58.1,24.8,30.6,38.2,58.9,32.3,32.1,48.2,14.6,25.1,15.7
Q8WVV9,172.1,99.8,93.5,207.4,87.7,135.3,119.5,132.1,80.6,142.7,84.3,123.6,109.3,69.8,88
Q86W92,90.8,32.8,77.5,45,49,59.7,61.5,25.1,46,52.7,38,92.3,25.2,10.9,16.6
P21741,7.8,11.3,5.7,9.2,8.8,9.3,7.4,9.4,9,8.9,11.3,5.4,8.3,11.3,18.5
Q9H444,58.9,60.5,56.8,43.7,62.8,43.7,46.8,55.6,64.1,55.8,53.1,49.7,53.3,86.8,54.2
O15550,43.2,47.3,27.3,51,37.1,33.5,38.7,42.6,35.3,36.3,48.2,40.2,75.1,54.4,66.3
Q8IW75,53.8,98.6,65.3,87.7,61.4,26,42,80.7,71.7,56.2,123.8,64.4,85.4,145.4,221.6
P08621,889.2,646.8,918,599.7,569.4,785.6,952.9,759.9,490.2,848,524.9,568.1,208.4,245.7,236.4
O00116,404.2,249.6,227.1,622.3,231.2,364.6,343.4,322,335.5,436.4,252.4,298.6,316.1,269.7,301.6
Q969P0,11.7,13.2,12.7,18.6,8.1,8.4,11.2,14.9,12.6,11.4,10.6,12.2,11.3,14.3,12.7
Q7Z2K8,517.4,339.6,583.9,491.6,665.5,419.3,548.3,408.9,702.8,591.5,422.1,572.9,132.9,130.4,135.1
P15531,410.1,231.1,279.2,207.3,277,399.3,412,301.4,216.3,301.5,240.2,263.8,181.4,315.2,265.7
Q12899,13.9,15.9,13.9,17.7,9.5,15.8,12.9,20.1,8.6,13.6,13.2,11.3,18.4,20.8,23.3
P26196,244.3,128.5,89.2,226.5,53.9,310.5,188.4,135.2,189.8,177.5,107.7,126.6,118.1,99.8,119.1
Q9NPA3,274.3,139.8,231.4,174.3,190.5,229.3,296.7,153.3,206.4,255.6,140.1,247.7,76.1,70.2,63.2
Q5F1R6,29.7,20.6,30.4,14.1,20.3,19.9,26.5,16.7,25.6,21.7,16.5,28.5,21.8,26.8,24.6
Q9BRK0,3.8,7.5,4.5,7.6,2.6,2.9,5.6,6.3,7.8,6.3,7.6,5.3,12.2,7.2,8.1
P13535,34,63.1,36.7,37.3,30.3,18.6,40.7,60.8,37.8,32.5,64.3,48.6,79.3,116.5,159.9
Q96BU1,7,8.2,9.5,6.4,11.6,7.9,8.9,8.3,11.7,14.4,6.1,11.9,3.7,6.6,4.1
